id,object,url,data_updated_at,created_at,subject_id,subject_type,meaning_correct,meaning_incorrect,meaning_max_streak,meaning_current_streak,reading_correct,reading_incorrect,reading_max_streak,reading_current_streak,percentage_correct,hidden
344952038,review_statistic,https://api.wanikani.com/v2/review_statistics/344952038,2024-07-12T06:41:28.669379Z,2024-01-20T06:56:09.982991Z,467,kanji,8,0,8,8,8,0,8,8,100,False
344952043,review_statistic,https://api.wanikani.com/v2/review_statistics/344952043,2024-12-23T10:51:42.063599Z,2024-01-20T06:56:14.966213Z,476,kanji,11,0,11,11,11,1,7,4,96,False
344952050,review_statistic,https://api.wanikani.com/v2/review_statistics/344952050,2024-08-29T08:39:58.887902Z,2024-01-20T06:56:17.316454Z,478,kanji,14,0,14,14,14,2,6,6,93,False
344959739,review_statistic,https://api.wanikani.com/v2/review_statistics/344959739,2024-07-12T00:26:20.173769Z,2024-01-20T08:32:53.878589Z,9177,kana_vocabulary,8,0,8,8,8,0,8,8,100,False
344959765,review_statistic,https://api.wanikani.com/v2/review_statistics/344959765,2024-07-12T04:34:52.055001Z,2024-01-20T08:33:17.198611Z,9178,kana_vocabulary,8,0,8,8,8,0,8,8,100,False
344959864,review_statistic,https://api.wanikani.com/v2/review_statistics/344959864,2024-12-27T12:29:05.949133Z,2024-01-20T08:34:31.686468Z,483,kanji,15,0,15,15,15,3,8,4,91,False
344959867,review_statistic,https://api.wanikani.com/v2/review_statistics/344959867,2025-01-16T08:50:54.406736Z,2024-01-20T08:34:34.482139Z,856,kanji,14,0,14,14,14,2,7,6,93,False
344959874,review_statistic,https://api.wanikani.com/v2/review_statistics/344959874,2025-03-31T05:37:46.456226Z,2024-01-20T08:34:40.355137Z,2492,vocabulary,20,2,16,4,20,1,13,13,93,False
344960144,review_statistic,https://api.wanikani.com/v2/review_statistics/344960144,2024-09-12T13:49:36.578294Z,2024-01-20T08:38:33.070628Z,8733,vocabulary,17,1,12,5,17,3,10,10,89,False
345211257,review_statistic,https://api.wanikani.com/v2/review_statistics/345211257,2025-02-05T19:16:31.690402Z,2024-01-22T01:28:29.538064Z,460,kanji,11,0,11,11,11,1,6,5,96,False
345211262,review_statistic,https://api.wanikani.com/v2/review_statistics/345211262,2025-01-04T03:30:38.494006Z,2024-01-22T01:28:31.572925Z,458,kanji,14,0,14,14,14,2,6,4,93,False
345211270,review_statistic,https://api.wanikani.com/v2/review_statistics/345211270,2024-12-21T15:51:46.780842Z,2024-01-22T01:28:33.521069Z,461,kanji,12,0,12,12,12,3,7,7,89,False
345211279,review_statistic,https://api.wanikani.com/v2/review_statistics/345211279,2024-07-14T13:09:19.197474Z,2024-01-22T01:28:35.653053Z,462,kanji,9,0,9,9,9,1,9,9,95,False
345211293,review_statistic,https://api.wanikani.com/v2/review_statistics/345211293,2024-12-28T23:11:32.345726Z,2024-01-22T01:28:37.932867Z,459,kanji,11,0,11,11,11,1,7,4,96,False
